Name,Description,Designator,Footprint,LibRef,Quantity

"2u2","CAP CER 1UF 16V X5R 0402","C1, C2","FP-CC0402-MFG","CMP-03422-001191-1","2"
"22u","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 4.7uF, X6S, 22%, 20%, 35V","C3, C4","FP-GRM21B-0_15-IPC_A","CMP-06035-033280-1","2"
"100n","CAP CER 1UF 16V X5R 0402","C5, C6, C8, C9, C10, C11, C12, C14, C15, C16","FP-CC0402-MFG","CMP-03422-001191-1","10"
"2.2uF","C0603 0.10 µF X7R 30ppm/°C 5.00% 16 V","C7, C13","FP-C0603C-CF-MFG","CMP-03020-001925-2","2"
"10n","CAP CER 1UF 16V X5R 0402","C17","FP-CC0402-MFG","CMP-03422-001191-1","1"
"2n2","CAP CER 1UF 16V X5R 0402","C18","FP-CC0402-MFG","CMP-03422-001191-1","1"
"LED","LED GREEN CLEAR CHIP SMD","D1","FP-APHHS1005CGCK-MFG","CMP-44529-000044-1","1"
"Led_red","5988A10107F LED Uni-Color Red 2-Pin Chip 0402(1006Metric) T/R","D2","FP-5988A10107F-MFG","CMP-00106-100993512-1","1"
"120R","Ferrite Bead, 700 Ohm, 1.5A, 0805 Rohs Compliant: Yes","FB1","WE-CBA_0805_L2W1.2H0.9_HC","CMP-03913-112295557-2","1"
"473460001","CONN RCPT USB2.0 MICRO B SMD R/A","J1","FP-473460001-MFG","CMP-2000-05246-2","1"
"TC2030-CTX-NL","6-Pin “No legs” TC2030 Plug-of-Nails™ Cable for use with ARM Cortex processors","J2","FP-TC2030-CTX-NL-MFG","CMP-205963-000001-1","1"
"B4B-PH-SM4-GW-TB(LF)(SN)","Connector header SMT, 4 Contacts, 2A, 100V, top entry male pins","J3","FP-B4B-PH-SM4-GW-TB_LF_S-MFG","CMP-17439-000485-1","1"
"1k","Thick Film Chip Resistors 0402 6.8O 0.0625W 5%","R1, R5","FP-CR0402-IPC_C","CMP-2002-05510-2","2"
"0R","Thick Film Chip Resistors 0402 7.68kO 0.0625W 1% 100ppm/°C","R2","FP-CR0402-IPC_A","CMP-1011-00610-3","1"
"2k2","Thick Film Chip Resistors 0402 6.8O 0.0625W 5%","R3, R4","FP-CR0402-IPC_C","CMP-2002-05510-2","2"
"10k","","R6, R7","RESC1005X37X20ML05T10","CMP-2002-02538-1","2"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U1","FP-AMS1117-IPC_C","CMP-209535-000001-1","1"
"STM32F411CEU6","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray","U2","STM-UFQFPN48_L","CMP-0243-00165-1","1"
"MPU-6050","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel","U3","IS-QFN-24_V","CMP-1753-00002-2","1"
"25MHz","Crystal 25MHz ±30ppm 10pF SMD-4 2.5mm x 2mm Automotive","Y1","FP-ABM11AIG-MFG","CMP-27762-012485-1","1"
