
File Design Information:

Date:       24/09/26
Time:       03:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                  Layer    Footprint                    Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                  
Y1         25MHz                    TopLayer FP-ABM11AIG-MFG              95.7000      74.0500      0        "Crystal 25MHz ±30ppm 10pF SMD-4 2.5mm x 2mm Automotive"                                                                                     
U3         MPU-6050                 TopLayer IS-QFN-24_V                  94.9500      87.6000      270      "3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel" 
U2         STM32F411CEU6            TopLayer STM-UFQFPN48_L               105.0290     79.8830      0        "ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"                                       
U1         AMS1117-3.3              TopLayer FP-AMS1117-IPC_C             116.9000     67.8000      270      "LDO Voltage Regulators 1A, 3.3V"                                                                                                            
R7         10k                      TopLayer RESC1005X37X20ML05T10        117.1000     94.1000      0        ""                                                                                                                                           
R6         10k                      TopLayer RESC1005X37X20ML05T10        104.3000     87.9000      270      ""                                                                                                                                           
R5         1k                       TopLayer FP-CR0402-IPC_C              111.1000     75.8000      0        "Thick Film Chip Resistors 0402 6.8O 0.0625W 5%"                                                                                             
R4         2k2                      TopLayer FP-CR0402-IPC_C              104.8000     90.0000      180      "Thick Film Chip Resistors 0402 6.8O 0.0625W 5%"                                                                                             
R3         2k2                      TopLayer FP-CR0402-IPC_C              106.8000     90.0000      0        "Thick Film Chip Resistors 0402 6.8O 0.0625W 5%"                                                                                             
R2         0R                       TopLayer FP-CR0402-IPC_A              97.1000      78.8000      0        "Thick Film Chip Resistors 0402 7.68kO 0.0625W 1% 100ppm/°C"                                                                                 
R1         1k                       TopLayer FP-CR0402-IPC_C              125.0000     69.9000      270      "Thick Film Chip Resistors 0402 6.8O 0.0625W 5%"                                                                                             
J3         B4B-PH-SM4-GW-TB(LF)(SN) TopLayer FP-B4B-PH-SM4-GW-TB_LF_S-MFG 102.6500     64.6000      0        "Connector header SMT, 4 Contacts, 2A, 100V, top entry male pins"                                                                            
J2         TC2030-CTX-NL            TopLayer FP-TC2030-CTX-NL-MFG         116.4600     89.3000      180      "6-Pin “No legs” TC2030 Plug-of-Nails™ Cable for use with ARM Cortex processors"                                                             
